Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4339,PR,Toa Alta (Municipio),TOA BALTA,953,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOAL ALTA,953,1,1,0,0,1,0,1,5612,0,1106,4506,1,0,0,0
4339,PR,Toa Alta (Municipio),TO ALTA,953,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA LTA,953,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOALTA,758,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOALTA,953,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TODA ALTA,953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOQ ALTA,953,1,0,0,0,0,0,1,1053,0,553,500,1,0,0,0
4339,PR,Toa Alta (Municipio),TOWN HILL,953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),URB MANCIONES DEL TOA,953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),URB TOA ALTA HEIGHTS,953,1,1,1,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),VILLA JOSCO,953,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),BARRIO CAMPANILLAS TOA BAJA,948,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),BARRIO CAMPANILLA TOA BAJA,949,1,1,1,0,0,0,1,3678,0,553,3125,1,0,0,0
4339,PR,Toa Baja (Municipio),BARRIO INGENIO TOA BAJA,951,1,1,0,1,0,0,1,17786,0,918,16868,0,1,0,0
4339,PR,Toa Baja (Municipio),BARRIO INGENIO TOA BAJA,952,1,1,0,0,1,0,1,7077,0,1106,5971,1,0,0,0
4339,PR,Toa Baja (Municipio),BAYAMON,949,1,0,0,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Baja (Municipio),BAYAMON,951,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),BAYAMON,952,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),BAYAMON,956,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),BAYAMON,957,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),BAYAMON,960,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),BAYAMON,961,1,1,1,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Baja (Municipio),BO CAMPANILLAS TOA BAJA,949,1,1,1,0,0,0,1,4363,0,0,4363,1,0,0,0
4339,PR,Toa Baja (Municipio),BO CANDELARIA,965,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),BO INGENIO TOA BAJA,949,1,1,1,0,0,0,1,4274,0,0,4274,1,0,0,0
4339,PR,Toa Baja (Municipio),BO MEDIA LUNA TOA BAJA,951,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),CALLE FLABOYA INGENIO,951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),CALLE MANUEL ALONSO,949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
